value,cpu_address,mnemonic,operands,disposition
0x0800,0x80024684,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800246C0,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80025738,addiu,"$a2, $a2, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80025998,addiu,"$a2, $a2, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002618C,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80026A6C,addiu,"$a1, $a1, 0x800",grouped-in-native-validation-search.csv
0x02D2,0x800291A4,addiu,"$a2, $a2, 0x2d2",grouped-in-native-validation-search.csv
0x0800,0x8002B208,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002B3A0,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002B3C4,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002B5C4,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002B620,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002B740,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002B9F8,slti,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002BE64,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002BEC8,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002BEDC,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x02D2,0x8002BF74,slti,"$v0, $s0, 0x2d2",grouped-in-native-validation-search.csv
0x07FF,0x8002CCA8,andi,"$v1, $a0, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x8002CCE4,andi,"$v0, $a0, 0x7ff",grouped-in-native-validation-search.csv
0x0800,0x8002DEA8,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002DEC0,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002E52C,andi,"$v0, $a1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002E55C,ori,"$v0, $a1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F09C,andi,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F0AC,ori,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F19C,andi,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F1A8,ori,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F244,andi,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F24C,ori,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F57C,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F590,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002F604,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002FC30,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8002FC44,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003045C,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80030840,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800322A4,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x02D2,0x80032604,addiu,"$v0, $zero, 0x2d2",grouped-in-native-validation-search.csv
0x02D2,0x800326E8,slti,"$v0, $t0, 0x2d2",grouped-in-native-validation-search.csv
0x02D2,0x800326F8,addiu,"$v0, $zero, 0x2d2",grouped-in-native-validation-search.csv
0x0800,0x80033454,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x02D2,0x80033B7C,slti,"$v0, $a1, 0x2d2",grouped-in-native-validation-search.csv
0x0800,0x800359E8,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80039A2C,ori,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003A0EC,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003A100,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003A158,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003A69C,addiu,"$a2, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003A8D8,addiu,"$a2, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003B8A8,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003B8BC,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003B928,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003BAD4,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003BB50,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003BB64,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003BDD4,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x1800,0x8003BE54,addiu,"$v1, $zero, 0x1800",grouped-in-native-validation-search.csv
0x0800,0x8003BFA8,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C038,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C04C,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C1D8,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C1EC,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C26C,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C3E0,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C3F4,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003C46C,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003E260,addiu,"$a2, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003F460,andi,"$v0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8003F6E8,ori,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800433E8,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80043454,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x1800,0x800434B0,addiu,"$v0, $zero, 0x1800",grouped-in-native-validation-search.csv
0x0800,0x800435A4,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800435B8,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80043630,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80046A68,addiu,"$a2, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80046B78,addiu,"$a2, $zero, 0x800",grouped-in-native-validation-search.csv
0x07FF,0x800477A8,addiu,"$v0, $t0, 0x7ff",grouped-in-native-validation-search.csv
0x0800,0x800477DC,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8004ECB4,addiu,"$a2, $a2, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8004ED08,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x02D2,0x8005064C,sltiu,"$v0, $a1, 0x2d2",grouped-in-native-validation-search.csv
0x0800,0x80051390,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800513BC,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x02D2,0x800538C0,sltiu,"$v0, $a1, 0x2d2",grouped-in-native-validation-search.csv
0x0800,0x8005616C,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80056350,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x02D2,0x80056608,sltiu,"$v0, $s0, 0x2d2",grouped-in-native-validation-search.csv
0x0800,0x80056A10,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80056F08,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057030,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057340,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8005741C,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057448,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057634,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057660,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800576C8,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057780,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800579D0,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057A18,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80057A44,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80059668,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8005ADE4,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8005ADF0,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8005AE04,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8005B6F4,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8005B768,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8005B830,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x07FF,0x8005C4C0,addiu,"$a3, $a3, 0x7ff",grouped-in-native-validation-search.csv
0x0800,0x8007181C,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80071838,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80071A40,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80071A5C,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80073144,andi,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x07FF,0x80075058,andi,"$v0, $v0, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x800750A4,andi,"$v0, $v0, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x8007529C,andi,"$s3, $a1, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x800753AC,andi,"$v0, $v0, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x800753F8,andi,"$v0, $v0, 0x7ff",grouped-in-native-validation-search.csv
0x0800,0x8007645C,andi,"$v0, $a1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80076D50,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80076D78,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80077780,andi,"$v0, $s1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80077E74,andi,"$v0, $t1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8007D820,addiu,"$v1, $s1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8007DB08,addiu,"$v0, $s0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8007DB18,addiu,"$v0, $s0, 0x800",grouped-in-native-validation-search.csv
0x07FF,0x80080AD0,andi,"$a1, $a1, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x80080AD8,andi,"$v0, $a0, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x80080DA0,andi,"$a0, $a0, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x80080E48,andi,"$a0, $a0, 0x7ff",grouped-in-native-validation-search.csv
0x0800,0x800819F0,ori,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x1800,0x80081A00,addiu,"$a2, $zero, 0x1800",grouped-in-native-validation-search.csv
0x0800,0x80081A38,ori,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80081CF4,ori,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80086704,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x07FF,0x8008697C,addiu,"$a0, $zero, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x80086B30,addiu,"$a0, $zero, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x80086BF4,addiu,"$a0, $zero, 0x7ff",grouped-in-native-validation-search.csv
0x07FF,0x80086C7C,addiu,"$a0, $zero, 0x7ff",grouped-in-native-validation-search.csv
0x0800,0x80089AF4,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800902A8,addi,"$a2, $a2, 0x800",grouped-in-native-validation-search.csv
