opponent_id,wa_record_start,wa_record_end_inclusive,record_size,disc_lba_start,disc_lba_end_inclusive,record_sha256,array_0_start,array_1_start,array_2_start,array_3_start,rank_candidate_start,tail_start
11,0x00EAA000,0x00EAB7FF,0x1800,17610,17612,2102e20a7152d2884de2c8d1d8af30d2b451a4d5e054dd5b03448cabc28f0458,0x00EAA000,0x00EAA5B4,0x00EAAB68,0x00EAB11C,0x00EAB6D0,0x00EAB798
12,0x00EAB800,0x00EACFFF,0x1800,17613,17615,469a002fb2d5f21a52f94c323683cf68c1ad6524c12eb029fbfee44260a80316,0x00EAB800,0x00EABDB4,0x00EAC368,0x00EAC91C,0x00EACED0,0x00EACF98
13,0x00EAD000,0x00EAE7FF,0x1800,17616,17618,480d76eba441a02746819c5c83adf25666121698ee1a9bbdc273a1198c74d496,0x00EAD000,0x00EAD5B4,0x00EADB68,0x00EAE11C,0x00EAE6D0,0x00EAE798
14,0x00EAE800,0x00EAFFFF,0x1800,17619,17621,7098adf8a1e3e508dd1988064f625913df03e738c8f6a50279a220913e1e5d63,0x00EAE800,0x00EAEDB4,0x00EAF368,0x00EAF91C,0x00EAFED0,0x00EAFF98
15,0x00EB0000,0x00EB17FF,0x1800,17622,17624,ab765e96b3a8c3471bf323c251f8ecb1d8d1c22837f89f863e3bc940bb18689b,0x00EB0000,0x00EB05B4,0x00EB0B68,0x00EB111C,0x00EB16D0,0x00EB1798
16,0x00EB1800,0x00EB2FFF,0x1800,17625,17627,8873239a47ed21d85c401b037e5575ded7228b8cd8df1eec3c1c4877f1060d49,0x00EB1800,0x00EB1DB4,0x00EB2368,0x00EB291C,0x00EB2ED0,0x00EB2F98
17,0x00EB3000,0x00EB47FF,0x1800,17628,17630,0f9c38a4e2732e86fb203d9ae8d45aefac4f67ef4653bbbb0242bf393b2654e4,0x00EB3000,0x00EB35B4,0x00EB3B68,0x00EB411C,0x00EB46D0,0x00EB4798
18,0x00EB4800,0x00EB5FFF,0x1800,17631,17633,0d4b8cc7a3a0af8c2c735aad59a52378ea2b0770808c53bd87f1eee16e893be3,0x00EB4800,0x00EB4DB4,0x00EB5368,0x00EB591C,0x00EB5ED0,0x00EB5F98
19,0x00EB6000,0x00EB77FF,0x1800,17634,17636,1fff048b8b5fa33885a5df7e7f7921ee1ae04ebc1a9e81d1d700bf8a46c3b94e,0x00EB6000,0x00EB65B4,0x00EB6B68,0x00EB711C,0x00EB76D0,0x00EB7798
20,0x00EB7800,0x00EB8FFF,0x1800,17637,17639,6fd3c0c836707c50624669e3bf489ed5f0189ba12c4ed818c767a036ec63c169,0x00EB7800,0x00EB7DB4,0x00EB8368,0x00EB891C,0x00EB8ED0,0x00EB8F98
21,0x00EB9000,0x00EBA7FF,0x1800,17640,17642,d5ec14f06152d68a92b163c243f663832a8ecceb3f67df1b78162c22ffea15eb,0x00EB9000,0x00EB95B4,0x00EB9B68,0x00EBA11C,0x00EBA6D0,0x00EBA798
22,0x00EBA800,0x00EBBFFF,0x1800,17643,17645,8699e5a4d13c5c01867d1346c59ca7cbcd5bbb920e4fe52e3a804b3f43d220f1,0x00EBA800,0x00EBADB4,0x00EBB368,0x00EBB91C,0x00EBBED0,0x00EBBF98
23,0x00EBC000,0x00EBD7FF,0x1800,17646,17648,4d464ee56f110613bbc9ba2063ea178f1508e1876d849a1905449c21e2ee4380,0x00EBC000,0x00EBC5B4,0x00EBCB68,0x00EBD11C,0x00EBD6D0,0x00EBD798
24,0x00EBD800,0x00EBEFFF,0x1800,17649,17651,7121a4e790983af0144d1cc0760ed3d623252747323b01e987560d1377d4aa25,0x00EBD800,0x00EBDDB4,0x00EBE368,0x00EBE91C,0x00EBEED0,0x00EBEF98
25,0x00EBF000,0x00EC07FF,0x1800,17652,17654,39316b1e793ac380423a36ffc7243f5e22c67a9c002b4f855d91aac5f8a60b10,0x00EBF000,0x00EBF5B4,0x00EBFB68,0x00EC011C,0x00EC06D0,0x00EC0798
26,0x00EC0800,0x00EC1FFF,0x1800,17655,17657,7709f1ed0fdf2938dff9c5327ea9d2b4665443fcbfa1eb1fd52a2cb290aa4eb0,0x00EC0800,0x00EC0DB4,0x00EC1368,0x00EC191C,0x00EC1ED0,0x00EC1F98
27,0x00EC2000,0x00EC37FF,0x1800,17658,17660,cbca0b9585d7ea6c0ae83ab272390bbda03b0705145705d403550b7c6f050733,0x00EC2000,0x00EC25B4,0x00EC2B68,0x00EC311C,0x00EC36D0,0x00EC3798
28,0x00EC3800,0x00EC4FFF,0x1800,17661,17663,e6d06230503e4ceccdd27e0b95dc70501c46415a5eda1ae807558b2a3f30bba4,0x00EC3800,0x00EC3DB4,0x00EC4368,0x00EC491C,0x00EC4ED0,0x00EC4F98
29,0x00EC5000,0x00EC67FF,0x1800,17664,17666,97bc8b2f4d1bf2f40145ddb8bae8b227aab1724e794f26abec1bae51e92ef8c6,0x00EC5000,0x00EC55B4,0x00EC5B68,0x00EC611C,0x00EC66D0,0x00EC6798
30,0x00EC6800,0x00EC7FFF,0x1800,17667,17669,0e83b9a659cdd563d54ee956fed7076a08342ff662df1fcf682dd6cf1e497998,0x00EC6800,0x00EC6DB4,0x00EC7368,0x00EC791C,0x00EC7ED0,0x00EC7F98
31,0x00EC8000,0x00EC97FF,0x1800,17670,17672,1af1dbb4aa4f7f48118d413e7f73e91db42eda7a0a2444c331b218fb8f579e37,0x00EC8000,0x00EC85B4,0x00EC8B68,0x00EC911C,0x00EC96D0,0x00EC9798
32,0x00EC9800,0x00ECAFFF,0x1800,17673,17675,adccbcb0beaba4a655dab24b36d3683a9cc9a65d8c2437440047791a041b6518,0x00EC9800,0x00EC9DB4,0x00ECA368,0x00ECA91C,0x00ECAED0,0x00ECAF98
33,0x00ECB000,0x00ECC7FF,0x1800,17676,17678,b26898651acb7f585e1484a66cefd30e38e9a3a38adf4eb90c7bc4c71f64ef58,0x00ECB000,0x00ECB5B4,0x00ECBB68,0x00ECC11C,0x00ECC6D0,0x00ECC798
34,0x00ECC800,0x00ECDFFF,0x1800,17679,17681,43764fde2ba12eaec89eb2e722c2fd6a91ef0db18c4c1df337e652df1dfdc8d5,0x00ECC800,0x00ECCDB4,0x00ECD368,0x00ECD91C,0x00ECDED0,0x00ECDF98
35,0x00ECE000,0x00ECF7FF,0x1800,17682,17684,1a67b5ee08f39665b474e4bace53f88fddd203eee61b485e655e1c44c02f5d3a,0x00ECE000,0x00ECE5B4,0x00ECEB68,0x00ECF11C,0x00ECF6D0,0x00ECF798
36,0x00ECF800,0x00ED0FFF,0x1800,17685,17687,a128316fee1a1d6a0274fff3fe1d8405e44925bd289369f7209cc572cd629d65,0x00ECF800,0x00ECFDB4,0x00ED0368,0x00ED091C,0x00ED0ED0,0x00ED0F98
37,0x00ED1000,0x00ED27FF,0x1800,17688,17690,a82e66da4fee53b13debc300a6cffab10f815d26b319cb069720f70c427abb25,0x00ED1000,0x00ED15B4,0x00ED1B68,0x00ED211C,0x00ED26D0,0x00ED2798
38,0x00ED2800,0x00ED3FFF,0x1800,17691,17693,604f3935199c0a341535c510d27fac764a3dcbb591bd517781dbf5b7385a3812,0x00ED2800,0x00ED2DB4,0x00ED3368,0x00ED391C,0x00ED3ED0,0x00ED3F98
39,0x00ED4000,0x00ED57FF,0x1800,17694,17696,7366a6a1369700dd6bc7b47d99d9ae07f6633a00ccbdeab6ee73ddfcd5403ad6,0x00ED4000,0x00ED45B4,0x00ED4B68,0x00ED511C,0x00ED56D0,0x00ED5798
